SUBTIPO,ESTRATO,NIVEL_PISO,VAL_ARRIEN,AREA_M2,ALCOBAS,BANOS,GARAJES,ESTAR,ESTUDIO,ALC_SERVIC
0,4,2,900000,34,1,1,1,0,0,0
0,4,2,580000,35,1,1,0,0,0,0
0,4,5,800000,47,1,1,1,0,0,0
0,4,3,850000,45,2,2,0,1,0,0
0,4,4,700000,35,1,1,0,0,0,0
0,4,3,750000,33,1,1,0,0,0,0
0,4,5,850000,30,1,1,1,0,0,0
0,4,5,560000,33,1,1,1,0,1,0
0,4,2,600000,26,1,1,1,0,0,0
0,4,5,470000,40,1,1,0,0,0,0
0,4,5,650000,35,1,1,1,0,0,0
0,4,4,500000,35,1,1,0,0,0,0
0,4,1,780000,38,1,1,1,0,0,0
0,4,1,800000,33,1,1,0,0,0,0
0,4,1,450000,40,1,1,0,0,0,0
1,4,0,1600000,105,4,3,1,0,1,0
0,4,1,450000,40,1,1,0,0,0,0
0,4,1,450000,40,1,1,0,0,0,0
1,4,0,680000,25,1,1,0,0,0,0
0,4,2,700000,53,2,2,0,0,0,0
0,4,0,700000,60,2,2,0,0,0,0
1,4,0,800000,60,2,2,0,0,0,0
0,4,0,900000,70,3,2,0,0,0,0
0,4,2,780000,80,3,2,0,0,0,0
0,4,2,780000,80,3,2,0,0,0,0
1,4,0,800000,90,3,1,0,0,0,0
1,4,0,980000,90,3,2,0,0,0,0
1,4,0,600000,80,2,1,0,0,0,0
0,4,3,900000,80,2,2,0,0,0,0
0,4,3,750000,75,2,2,0,0,0,0
0,4,0,650000,50,2,1,0,0,0,0
0,4,2,650000,50,2,1,0,0,0,0
1,4,2,650000,45,2,1,0,0,0,0
0,4,0,800000,60,2,2,0,0,0,1
0,4,0,780000,70,3,2,1,0,0,0
0,4,3,850000,50,2,1,0,0,0,0
0,4,3,850000,43,2,1,0,0,0,0
0,4,2,700000,40,2,1,0,0,0,0
0,4,0,800000,43,2,1,0,0,0,0
0,4,2,1200000,54,3,1,1,0,0,0
0,4,2,1200000,54,3,1,1,0,0,0
0,4,2,900000,54,3,1,1,0,0,0
0,4,1,1200000,145,4,2,0,0,0,0
1,4,0,650000,65,2,2,0,0,0,0
0,4,5,780000,38,1,1,0,0,0,0
0,4,5,580000,40,2,1,0,0,0,0
0,4,4,600000,40,1,1,0,0,0,0
0,4,4,512500,40,1,1,0,0,0,0
0,4,1,560000,29,1,1,0,0,0,0
0,4,5,700000,38,1,1,0,0,0,0
0,4,1,620000,29,1,1,0,0,0,0
0,4,3,650000,40,1,1,0,0,0,0
0,4,1,550000,46,1,1,0,0,0,0
0,4,2,580000,72,2,1,0,0,0,0
1,4,0,1700000,160,4,5,1,0,1,1
0,4,2,650000,64,3,2,0,0,0,0
1,4,0,580000,57,2,1,0,0,0,0
0,4,3,640000,70,3,2,0,0,0,0
0,4,4,640000,76,3,2,0,0,0,0
0,4,2,650000,60,3,2,0,0,0,0
